-1.2	79	110.266	0	2011-01-06	13
-1.9	87	89.1836	0	2011-01-06	14
-2	74	42.1597	0	2011-01-06	15
-1.9	71	9.72916	0	2011-01-06	16
-2.4	72	0	0	2011-01-06	17
-3.3	70	0	0	2011-01-06	18
-3.6	75	0	0	2011-01-06	19
-4.7	85	0	0	2011-01-06	20
-4.5	83	0	0	2011-01-06	21
-5.1	78	0	0	2011-01-06	22
-5.2	64	0	0	2011-01-06	23
-6.1	74	0	0	2011-01-07	0
-6	68	0	0	2011-01-07	1
-7	70	0	0	2011-01-07	2
-6.8	69	0	0	2011-01-07	3
-7	66	0	0	2011-01-07	4
-7.1	69	0	0	2011-01-07	5
-7.1	76	0	0	2011-01-07	6
-6.9	77	0	0	2011-01-07	7
-6.8	77	14.6027	0	2011-01-07	8
-7.1	86	37.318	0	2011-01-07	9
-6.6	86	71.3851	0	2011-01-07	10
-6	78	90.835	0	2011-01-07	11
-5.5	69	95.7014	0	2011-01-07	12
-5.4	69	111.909	0	2011-01-07	13
-5.6	81	90.8135	0	2011-01-07	14
-5.4	68	60.0007	0	2011-01-07	15
-5.4	69	19.4618	0	2011-01-07	16
-5.6	73	0	0	2011-01-07	17
-7.2	88	-1.62251	0	2011-01-07	18
-6.9	86	0	0	2011-01-07	19
-7	86	-3.24523	0	2011-01-07	20
-7.1	88	-3.24553	0	2011-01-07	21
-6.9	88	0	0	2011-01-07	22
-7.5	90	0	0	2011-01-07	23
-8.1	88	0	1	2011-01-08	0
-8.1	85	0	1	2011-01-08	1
-8.3	85	0	1	2011-01-08	2
-8.8	83	0	1	2011-01-08	3
-8.6	85	0	1	2011-01-08	4
-9.4	85	-1.62299	1	2011-01-08	5
-10	86	0	1	2011-01-08	6
-10.7	87	0	1	2011-01-08	7
-11.1	87	9.73803	1	2011-01-08	8
-10.7	87	42.1967	1	2011-01-08	9
-9.7	83	95.7301	1	2011-01-08	10
-8	76	89.2139	1	2011-01-08	11
-6.8	73	121.639	1	2011-01-08	12
-6	72	102.156	1	2011-01-08	13
-5.9	69	81.076	1	2011-01-08	14
-5.5	67	64.8598	1	2011-01-08	15
-4.2	63	22.7015	1	2011-01-08	16
-4.8	55	0	1	2011-01-08	17
-5.8	58	-4.86753	1	2011-01-08	18
-6.4	57	-3.24502	1	2011-01-08	19
-6.7	57	-4.86882	1	2011-01-08	20
-6.8	59	0	1	2011-01-08	21
